"student","morality","empathy","condition"
"student 1",3,2,"good"
"student 2",2,2,"good"
"student 3",0,2,"good"
"student 4",3,2,"good"
"student 5",2,-2,"good"
"student 6",2,-3,"good"
"student 7",2,1,"good"
"student 8",2,-1,"good"
"student 9",2,3,"good"
"student 10",2,3,"good"
"student 11",2,2,"good"
"student 12",0,0,"good"
"student 13",3,3,"bad"
"student 14",-1,-3,"bad"
"student 15",-3,-1,"bad"
"student 16",2,2,"bad"
"student 17",-2,1,"bad"
"student 18",0,-1,"bad"
"student 19",0,-2,"bad"
"student 20",-2,-1,"bad"
"student 21",0,-2,"bad"
"student 22",-2,-3,"bad"
"student 23",0,3,"bad"
"student 24",2,-1,"bad"
"student 25",-1,1,"bad"
