"","A1","A2","A3","A4","A5","T1","T2","T3","T4","T5","EE1","EE2","EE3","EE4","EE5","MS1","MS2","MS3"
"student 1",1,1,2,1,0,1,0,0,1,2,2,-1,-1,1,1,0,0,1
"student 2",-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,1,1,1,1,-1,2,1,2
"student 3",2,3,1,1,1,2,1,2,1,-2,2,0,0,2,1,3,2,2
"student 4",3,3,0,3,0,-3,-3,-3,-3,-3,3,-3,-3,3,0,2,-2,3
"student 5",0,2,2,1,1,2,1,-1,1,-2,3,2,2,3,2,1,3,2
"student 6",-1,2,1,1,1,2,1,2,1,-1,3,-1,2,3,3,2,3,3
"student 7",0,2,1,1,2,2,2,1,1,1,1,0,1,2,2,1,2,3
"student 8",0,-1,-1,-1,0,0,0,1,1,0,-1,0,0,-1,0,2,2,2
"student 9",2,3,3,2,1,2,2,1,3,0,3,3,2,2,2,3,2,2
"student 10",1,2,2,-2,-1,1,-1,-1,1,0,3,0,1,1,1,0,1,3
"student 11",0,2,-1,-3,-3,-3,-3,-3,-2,-3,-1,-2,-2,-2,-3,0,0,-2
"student 12",-1,1,1,0,-2,-2,-3,-2,-2,-3,-3,-3,-3,-3,-3,0,-2,-1
"student 13",1,2,1,-1,-1,-2,-2,-3,-2,-3,-2,1,-1,-1,-2,2,2,1
"student 14",-2,1,-1,-1,-2,-3,-3,-3,0,-3,1,0,-2,0,-3,-1,1,0
"student 15",1,3,2,2,2,1,0,-2,3,-3,3,1,0,3,1,2,3,1
"student 16",0,-1,3,3,0,2,1,0,2,0,2,2,2,1,0,3,2,2
"student 17",-1,-2,2,-1,-1,1,1,1,1,-2,0,1,1,-1,1,2,2,2
"student 18",0,-1,-1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,0,1,1,1
"student 19",-3,2,0,1,-2,2,-1,0,2,0,1,1,1,2,1,3,2,2
"student 20",0,2,-1,-2,-2,-3,-2,1,-1,-3,-1,0,-2,1,0,3,2,1
"student 21",-1,2,-2,-2,-2,-1,-1,-1,-1,-3,0,0,0,1,1,2,2,3
"student 22",0,2,3,2,2,2,0,-3,3,-3,3,2,2,2,2,2,3,3
"student 23",2,3,2,-2,-1,0,-1,-2,1,-2,0,-2,-1,-1,0,3,2,1
"student 24",-2,1,0,1,-1,1,-2,1,0,-3,-2,1,-2,1,-2,1,2,2
"student 25",3,2,2,1,1,1,0,-1,1,1,2,2,1,1,2,2,2,2
"student 26",0,2,2,0,1,1,0,-2,0,-2,1,1,0,2,1,2,2,1
"student 27",-1,2,1,-2,-2,1,-1,-2,0,-1,2,0,1,1,2,-1,2,1
"student 28",1,2,2,0,2,2,0,0,2,1,0,2,2,1,2,2,3,2
"student 29",-3,-1,-2,-2,-3,0,-3,-3,-1,-3,1,1,0,0,-1,2,1,1
"student 30",1,1,0,1,1,-3,-3,-3,0,-3,-3,-2,-2,-2,-2,-2,0,0
"student 31",-2,1,0,-2,-2,-1,-2,0,-1,-2,3,3,3,3,1,1,2,1
"student 32",0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-2,-3,-3,-2,-3,-1
"student 33",1,2,1,3,1,0,-2,2,2,0,1,-2,1,-1,1,3,3,3
"student 34",3,3,3,3,2,3,2,2,3,0,3,3,3,3,3,3,3,3
"student 35",1,2,1,0,0,1,0,1,1,-2,1,2,1,1,1,1,0,1
"student 36",0,2,0,-3,-2,-3,-3,-2,-2,-2,0,-3,-3,0,-2,0,-3,0
